region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,통영시 수산식품산업 거점센터,280,HM800005,01,초급속,100,경상남도 통영시 도산면 법송2길 7,옥외주차장,34.8939004000,128.3740368000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영항연안여객터미널,299,HM800012,02,초급속,100,경상남도 통영시 통영해안로 234,옥외주차장,34.8407500000,128.4203099000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영항연안여객터미널,299,HM800012,01,초급속,100,경상남도 통영시 통영해안로 234,옥외주차장,34.8407500000,128.4203099000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창원지검통영지청사,280,HM800013,02,초급속,100,경상남도 통영시 용남면 동달안길 65,옥외주차장,34.8644143000,128.4447448000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창원지검통영지청사,280,HM800013,01,초급속,100,경상남도 통영시 용남면 동달안길 65,옥외주차장,34.8644143000,128.4447448000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창원지방법원통영지원청사,280,HM800020,02,초급속,100,경상남도 통영시 용남면 동달리 857,옥외주차장,34.8650971000,128.4462830000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,창원지방법원통영지원청사,280,HM800020,01,초급속,100,경상남도 통영시 용남면 동달리 857,옥외주차장,34.8650971000,128.4462830000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,상주은모래비치주차장,299,HM800117,02,초급속,100,경상남도 남해군 상주면 상주리 1227,옥외주차장,34.7222662000,127.9881188000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,상주은모래비치주차장,299,HM800117,01,초급속,100,경상남도 남해군 상주면 상주리 1227,옥외주차장,34.7222662000,127.9881188000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,다랭이마을 제2주차장,299,HM800119,02,초급속,100,경상남도 남해군 남면 남면로 654,옥외주차장,34.7296820000,127.8956340000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,다랭이마을 제2주차장,299,HM800119,01,초급속,100,경상남도 남해군 남면 남면로 654,옥외주차장,34.7296820000,127.8956340000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영 안황 문화스포츠센터,280,HM810002,02,초급속,100,경상남도 통영시 광도면 안정로 830,옥외주차장,34.9490075000,128.4119878000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,통영 안황 문화스포츠센터,280,HM810002,01,초급속,100,경상남도 통영시 광도면 안정로 830,옥외주차장,34.9490075000,128.4119878000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,충렬사,280,HM810003,02,초급속,100,경상남도 통영시 여황로 251,옥외주차장,34.8468006000,128.4175944000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
경남,충렬사,280,HM810003,01,초급속,100,경상남도 통영시 여황로 251,옥외주차장,34.8468006000,128.4175944000,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
